metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian,Total
auc,0.836,0.811,0.88,0.827,0.887,0.889,0.856
accuracy,0.807,0.757,0.856,0.825,0.823,0.853,0.812
f1_score,0.574,0.626,0.575,0.6,0.778,0.554,0.649
precision,0.596,0.628,0.714,0.69,0.776,0.719,0.694
recall,0.554,0.625,0.481,0.531,0.781,0.451,0.609
false positive rate,0.115,0.18,0.049,0.078,0.149,0.045,0.107
bnsp_auc,0.862,0.866,0.803,0.821,0.917,0.805,
bpsn_auc,0.834,0.825,0.911,0.866,0.82,0.918,
posAEG,0.03,-0.012,0.066,0.042,-0.108,0.082,
negAEG,-0.004,-0.049,0.031,0.016,-0.023,0.033,
