id,labels,probs,split
31389,0,0.54651195,train
47731,1,0.74069595,train
44451,0,0.037739158,train
46078,0,0.023725739,train
31617,0,0.0841611,train
5645,0,0.26985505,train
8568,1,0.80633104,train
42709,1,0.3526432,train
7876,1,0.7581878,train
3598,0,0.17854412,train
24935,0,0.27546898,train
33853,1,0.633947,train
21733,1,0.38095668,train
47362,0,0.62445736,train
28829,1,0.66668826,train
25330,0,0.070726044,train
35631,0,0.2803626,train
22016,1,0.78021485,train
20926,0,0.08505216,train
10286,0,0.5376771,train
7751,0,0.2858083,train
15676,0,0.7278288,train
32407,1,0.13653171,train
20069,0,0.16791753,train
4229,0,0.37158585,train
26541,0,0.023898432,train
39997,0,0.5224576,train
43590,0,0.03229769,train
35925,0,0.19036134,train
6238,0,0.09361357,train
49681,1,0.75890636,train
13344,0,0.70493084,train
32530,0,0.047730744,train
43671,0,0.119198315,train
22579,0,0.3845757,train
5730,0,0.16265565,train
41869,0,0.20750353,train
23629,0,0.030466376,train
35575,0,0.51392126,train
2972,1,0.74558514,train
9995,0,0.023927951,train
17952,1,0.7580376,train
9033,0,0.042858887,train
4258,0,0.15211919,train
29002,1,0.8983632,train
7239,1,0.5357291,train
8796,0,0.07250432,train
42630,0,0.341681,train
28480,1,0.7976692,train
48345,0,0.3375868,train
29258,1,0.63904274,train
17571,0,0.15130295,train
41573,1,0.47183633,train
31197,0,0.7553954,train
45232,0,0.08565704,train
16637,0,0.2664617,train
38057,0,0.2688763,train
19160,0,0.037791044,train
16844,1,0.9457476,train
17723,0,0.16459927,train
23152,1,0.6161502,train
10949,1,0.7190098,train
41584,0,0.22962211,train
10511,0,0.1856908,train
37578,1,0.4823316,train
39215,1,0.7561035,train
16562,0,0.03774952,train
27498,0,0.019659707,train
13180,0,0.34239194,train
37592,1,0.7787086,train
8831,0,0.06743615,train
5982,0,0.26523072,train
13929,1,0.7243075,train
2962,1,0.9349678,train
24984,0,0.67936045,train
38970,0,0.5133303,train
9968,0,0.21074235,train
9611,0,0.054156516,train
7262,0,0.042463183,train
7525,0,0.07493685,train
45242,0,0.044324346,train
39933,0,0.022349993,train
31076,0,0.3484505,train
7485,0,0.17401898,train
21191,1,0.85559756,train
47876,0,0.16903377,train
21103,0,0.24369211,train
24260,1,0.724854,train
18556,1,0.5299287,train
11369,0,0.19870609,train
33056,1,0.60403234,train
41861,0,0.0735657,train
15738,1,0.8642375,train
626,0,0.074759044,train
203,0,0.14008343,train
24834,0,0.3338135,train
48303,0,0.10189631,train
41197,0,0.091593206,train
41441,0,0.2289614,train
12323,1,0.48153237,train
7477,0,0.036267184,train
10765,0,0.036031593,train
332,0,0.15124848,train
30123,1,0.55939674,train
48580,0,0.25249252,train
36225,0,0.26584232,train
42778,0,0.19655213,train
49984,0,0.15118301,train
16111,0,0.045486495,train
12930,0,0.48465934,train
40126,0,0.6749207,train
21108,1,0.66288364,train
17873,0,0.67771435,train
2641,0,0.046328176,train
8972,0,0.105831474,train
49892,0,0.020391421,train
25459,1,0.43203723,train
2747,0,0.0524053,train
41198,0,0.35294443,train
36345,0,0.10221421,train
19852,0,0.07572701,train
45937,0,0.22361058,train
26808,0,0.019042209,train
44400,0,0.032924343,train
2209,0,0.016160445,train
44975,0,0.3538516,train
