metrics,male,female,transgender,white,black,asian,Total
auc,0.85,0.854,0.838,0.774,0.778,0.888,0.917
accuracy,0.764,0.787,0.744,0.63,0.679,0.843,0.894
f1_score,0.503,0.477,0.56,0.567,0.599,0.469,0.528
precision,0.37,0.356,0.429,0.437,0.503,0.349,0.409
recall,0.788,0.723,0.808,0.81,0.74,0.714,0.744
false positive rate,0.24,0.203,0.272,0.447,0.35,0.143,0.093
bnsp_auc,0.938,0.929,0.94,0.943,0.929,0.931,
bpsn_auc,0.823,0.844,0.792,0.737,0.773,0.875,
posAEG,-0.023,0.011,-0.032,-0.035,0.002,0.015,
negAEG,-0.075,-0.056,-0.089,-0.179,-0.129,-0.025,
