id,labels,probs,split
0,1,0.9353935,train
1,1,0.9637348,train
2,1,0.9615049,train
3,1,0.9470323,train
4,0,0.9194738,train
5,1,0.9501531,train
6,1,0.9602616,train
7,1,0.95641816,train
8,1,0.9611484,train
9,1,0.8675172,train
10,1,0.9469318,train
11,1,0.4412858,train
12,1,0.7593247,train
13,0,0.031271446,train
14,1,0.70366234,train
15,0,0.92923915,train
16,1,0.97175634,train
17,1,0.96046907,train
18,0,0.25218722,train
19,1,0.9660089,train
20,1,0.8412588,train
21,1,0.9620781,train
22,1,0.9521823,train
23,1,0.8497941,train
24,1,0.53170526,train
25,1,0.94403416,train
26,1,0.9549372,train
27,0,0.91228485,train
28,0,0.9622086,train
29,1,0.94789946,train
30,1,0.90346557,train
31,0,0.76806587,train
32,1,0.87669575,train
33,1,0.48055276,train
34,0,0.94614667,train
35,1,0.97362816,train
36,1,0.9407719,train
37,1,0.9107199,train
38,0,0.9247297,train
39,1,0.07017848,train
40,0,0.45314762,train
41,1,0.6744183,train
42,1,0.87110096,train
43,1,0.655022,train
44,0,0.8225099,train
45,1,0.96966344,train
46,1,0.80626994,train
47,0,0.16346882,train
48,1,0.966084,train
49,1,0.95591956,train
50,1,0.566814,train
51,1,0.9324394,train
52,1,0.96634954,train
53,1,0.39973527,train
54,1,0.93512887,train
55,1,0.9456094,train
56,1,0.9476436,train
57,1,0.8541818,train
58,1,0.9642313,train
59,1,0.77310723,train
60,1,0.9420731,train
61,1,0.95032024,train
62,1,0.9572742,train
63,1,0.9478593,train
64,0,0.8333519,train
65,0,0.54289085,train
66,0,0.96557325,train
67,1,0.9651569,train
68,1,0.9621655,train
69,0,0.5411889,train
70,0,0.87369555,train
71,1,0.9643182,train
72,1,0.94475317,train
73,0,0.10152508,train
74,1,0.9527858,train
75,1,0.8868221,train
76,1,0.9437299,train
77,1,0.94731456,train
78,0,0.050604057,train
79,0,0.9335304,train
80,1,0.9012314,train
81,1,0.9033373,train
82,1,0.9437938,train
83,0,0.6217739,train
84,1,0.9463932,train
85,0,0.8740586,train
86,1,0.9277337,train
87,1,0.91090286,train
88,0,0.96455115,train
89,0,0.09926169,train
90,1,0.93819416,train
91,1,0.9631825,train
92,1,0.9629099,train
93,0,0.9029809,train
94,0,0.96631914,train
95,1,0.9336576,train
96,1,0.32420063,train
97,1,0.6680099,train
98,1,0.9562305,train
99,1,0.93740726,train
100,1,0.95901316,train
101,1,0.92855626,train
102,1,0.94679624,train
103,1,0.96431136,train
104,0,0.14752002,train
105,1,0.92192787,train
106,1,0.14525287,train
107,1,0.96464247,train
108,0,0.087606214,train
109,0,0.94298863,train
110,1,0.9593046,train
111,1,0.95043933,train
112,0,0.1348601,train
113,1,0.95314336,train
114,0,0.85991234,train
115,1,0.9358294,train
116,0,0.9326859,train
117,0,0.8086038,train
118,1,0.47348753,train
119,1,0.8903188,train
120,0,0.7718598,train
121,1,0.95447814,train
122,0,0.9432783,train
123,1,0.9612107,train
124,0,0.8959649,train
125,0,0.17395508,train
126,1,0.9130121,train
127,1,0.9648093,train
128,1,0.9559334,train
129,1,0.94949543,train
130,0,0.9189317,train
131,1,0.12255306,train
132,1,0.83256096,train
133,0,0.9096591,train
134,1,0.945356,train
135,1,0.81665426,train
136,1,0.94533664,train
137,1,0.9193663,train
138,1,0.9612378,train
139,0,0.09871212,train
140,1,0.93593496,train
141,1,0.07644356,train
142,1,0.96377337,train
143,0,0.90763295,train
144,1,0.9412692,train
145,0,0.111448854,train
146,1,0.8821082,train
147,1,0.96074617,train
148,1,0.9635774,train
149,0,0.94485044,train
150,1,0.9343868,train
151,0,0.78725016,train
152,0,0.94595915,train
153,1,0.95113903,train
154,1,0.9552328,train
155,1,0.8663998,train
156,0,0.9006346,train
157,1,0.9303707,train
158,1,0.95485395,train
159,0,0.9468011,train
160,1,0.14755167,train
161,1,0.9664129,train
162,0,0.95567715,train
163,1,0.9416486,train
164,1,0.95264816,train
165,1,0.96436423,train
166,1,0.9226786,train
167,0,0.94685113,train
168,1,0.16705886,train
169,1,0.96514857,train
170,1,0.89878315,train
171,1,0.9038764,train
172,1,0.94918054,train
173,1,0.94322187,train
174,1,0.9545521,train
175,0,0.027171804,train
176,1,0.94005203,train
177,1,0.30113018,train
178,1,0.9190268,train
179,1,0.95229506,train
180,1,0.91660583,train
181,0,0.86658496,train
182,1,0.9589016,train
183,1,0.8073055,train
184,0,0.37251723,train
185,1,0.88744456,train
186,0,0.21904077,train
187,0,0.9548146,train
188,0,0.8518127,train
189,1,0.95797086,train
190,0,0.34351334,train
191,1,0.51975846,train
192,1,0.9310181,train
193,1,0.7837996,train
194,1,0.94669217,train
195,1,0.96641237,train
196,1,0.95840997,train
197,1,0.9259527,train
198,0,0.75599176,train
199,1,0.955389,train
200,1,0.7875131,train
201,1,0.9606074,train
202,0,0.9411601,train
203,1,0.9289072,train
204,0,0.374663,train
205,1,0.9549525,train
206,1,0.9180783,train
207,1,0.7217413,train
208,1,0.92295116,train
209,1,0.9559637,train
210,1,0.9399173,train
211,1,0.9180972,train
212,1,0.9224589,train
213,1,0.952453,train
214,1,0.87309146,train
215,1,0.93822867,train
216,1,0.9407146,train
217,1,0.8675817,train
218,1,0.95291847,train
219,1,0.9574711,train
220,1,0.95370793,train
221,1,0.93786794,train
222,1,0.94060385,train
223,0,0.08437846,train
224,1,0.96652114,train
225,1,0.9588462,train
226,1,0.058019694,train
227,1,0.8998974,train
228,1,0.9450497,train
229,1,0.9392545,train
230,0,0.9351589,train
231,1,0.6712823,train
232,1,0.95607024,train
233,1,0.9466776,train
234,1,0.18930712,train
235,1,0.9589236,train
236,1,0.9564943,train
237,1,0.957775,train
238,1,0.9537172,train
239,1,0.9498654,train
240,1,0.1721893,train
241,1,0.92252254,train
242,1,0.93804497,train
243,1,0.90850914,train
244,1,0.26091984,train
245,1,0.95195216,train
246,1,0.95263827,train
247,1,0.2267058,train
248,0,0.839348,train
249,1,0.9638336,train
250,1,0.88092476,train
251,1,0.9482875,train
252,0,0.098793775,train
253,1,0.6120843,train
254,1,0.92864376,train
255,1,0.48321638,train
256,1,0.53906703,train
257,0,0.962251,train
258,1,0.3971596,train
259,1,0.584883,train
260,1,0.104251616,train
261,1,0.9187753,train
262,1,0.9247406,train
263,1,0.90818256,train
264,1,0.95853627,train
265,1,0.9612093,train
266,1,0.6661139,train
267,1,0.9589186,train
268,1,0.9585709,train
269,1,0.9557413,train
270,1,0.9269849,train
271,1,0.41848192,train
272,1,0.864756,train
273,1,0.9510628,train
274,0,0.93680966,train
275,1,0.8918331,train
276,1,0.9523234,train
277,1,0.75122696,train
278,1,0.95303077,train
279,1,0.46285245,train
280,1,0.94734144,train
281,1,0.89611673,train
282,1,0.96786153,train
283,1,0.96693915,train
284,0,0.96709263,train
285,1,0.91259134,train
286,1,0.89050674,train
287,1,0.84412414,train
288,1,0.92081994,train
289,0,0.93575776,train
290,1,0.9667618,train
291,0,0.20923884,train
292,1,0.271947,train
293,1,0.963032,train
294,1,0.85951346,train
295,1,0.96297574,train
296,1,0.91874444,train
297,1,0.9513311,train
298,0,0.042860013,train
299,0,0.022572838,train
300,1,0.9321005,train
301,1,0.96132714,train
302,1,0.958021,train
303,0,0.97170514,train
304,1,0.9379599,train
305,1,0.10298531,train
306,1,0.06906227,train
307,1,0.9108967,train
308,1,0.95222586,train
309,1,0.9334258,train
310,1,0.95259154,train
311,1,0.9487729,train
312,1,0.34164774,train
313,0,0.9500201,train
314,0,0.9331886,train
315,0,0.8692977,train
316,1,0.93707484,train
317,1,0.97076946,train
318,1,0.886253,train
319,1,0.9032548,train
320,1,0.95994157,train
321,0,0.87948835,train
322,1,0.9513768,train
323,1,0.96017903,train
324,0,0.9489836,train
325,1,0.9313749,train
326,1,0.95459646,train
327,1,0.9597864,train
328,1,0.2940434,train
329,0,0.96023023,train
330,0,0.16159683,train
331,1,0.9116097,train
332,1,0.93721265,train
333,1,0.91140884,train
334,1,0.95038396,train
335,1,0.9725395,train
336,1,0.9308202,train
337,1,0.7516053,train
338,1,0.8477719,train
339,1,0.9455943,train
340,1,0.9740108,train
341,1,0.06492227,train
342,0,0.95909804,train
343,1,0.92818034,train
344,1,0.832243,train
345,1,0.9546171,train
346,1,0.9393316,train
347,0,0.7748249,train
348,1,0.8576307,train
349,1,0.9418662,train
350,1,0.96050525,train
351,0,0.11715238,train
352,1,0.92793226,train
353,0,0.8968001,train
354,1,0.17828138,train
355,1,0.19107212,train
356,1,0.1111287,train
357,1,0.78123915,train
358,1,0.8737648,train
359,0,0.79564863,train
360,0,0.95635396,train
361,1,0.7987759,train
362,1,0.878115,train
363,1,0.09175924,train
364,1,0.9435356,train
365,1,0.22986247,train
366,1,0.9362059,train
367,0,0.8867866,train
368,1,0.04180999,train
369,1,0.81538343,train
370,1,0.96131766,train
371,1,0.9239369,train
372,1,0.9522239,train
373,0,0.9658232,train
374,1,0.9373643,train
375,1,0.9745093,train
376,0,0.9114535,train
377,1,0.95474714,train
378,1,0.89712673,train
379,0,0.96015894,train
380,1,0.9535788,train
381,0,0.20013173,train
382,0,0.9476792,train
383,1,0.88981354,train
384,1,0.93170834,train
385,0,0.94658077,train
386,1,0.18071052,train
387,0,0.5142676,train
388,0,0.30251488,train
389,1,0.050878048,train
390,0,0.4693125,train
391,1,0.9576467,train
392,0,0.34395486,train
393,1,0.9311449,train
394,0,0.91947395,train
395,1,0.9654938,train
396,1,0.91074073,train
397,1,0.88752854,train
398,1,0.9601302,train
399,0,0.104740836,train
400,1,0.97062624,train
401,1,0.8907766,train
402,1,0.9406603,train
403,1,0.95996815,train
404,1,0.9541933,train
405,1,0.853239,train
406,1,0.94314945,train
407,1,0.9260965,train
408,0,0.89564556,train
409,1,0.9476065,train
410,1,0.17897806,train
411,0,0.46772632,train
412,0,0.12645875,train
413,1,0.94666064,train
414,1,0.94323766,train
415,1,0.9172727,train
416,1,0.9388121,train
417,1,0.088407926,train
418,0,0.95650005,train
419,1,0.9381646,train
420,1,0.93912035,train
421,1,0.94771045,train
422,0,0.6520806,train
423,1,0.9540308,train
424,0,0.09614522,train
425,1,0.62155926,train
426,1,0.949383,train
427,1,0.94555455,train
428,0,0.43947908,train
429,1,0.8638202,train
430,1,0.5071713,train
431,1,0.96933895,train
432,1,0.9278792,train
433,1,0.9435671,train
434,1,0.96476406,train
435,1,0.8092783,train
436,1,0.95033467,train
437,1,0.92972094,train
438,0,0.5718886,train
439,0,0.09618724,train
440,1,0.9612127,train
441,0,0.6624975,train
442,1,0.9249836,train
443,1,0.4362719,train
444,1,0.9426761,train
445,1,0.7972457,train
446,1,0.9195399,train
447,1,0.96421623,train
448,1,0.9614553,train
449,1,0.91640675,train
450,1,0.93993944,train
451,1,0.8983787,train
452,1,0.77671206,train
453,1,0.96295863,train
454,1,0.03770736,train
455,1,0.5827611,train
456,1,0.9570777,train
457,1,0.0654518,train
458,1,0.9624962,train
459,1,0.9284542,train
460,1,0.8543893,train
461,1,0.92147714,train
462,1,0.04516899,train
463,1,0.9568633,train
464,1,0.9471351,train
465,1,0.9656882,train
466,0,0.9440932,train
467,0,0.18771271,train
468,1,0.42335245,train
469,1,0.96378154,train
470,1,0.0844502,train
471,0,0.7391946,train
472,1,0.95038164,train
473,1,0.9193025,train
474,1,0.9210119,train
475,1,0.9443537,train
476,1,0.9206489,train
477,1,0.92012435,train
478,1,0.79661626,train
