id,labels,probs,split
7104596,0,0.04084577,test
7136711,0,0.12039187,test
7130765,0,0.1273052,test
7166362,0,0.054058988,test
7194507,0,0.10448712,test
7140120,0,0.23864482,test
7172661,0,0.15003529,test
7144066,0,0.038936242,test
7168404,0,0.1726737,test
7166372,0,0.2019403,test
7099129,1,0.707224,test
7103767,0,0.18422411,test
7111312,1,0.6509486,test
7187687,0,0.23712264,test
7136574,0,0.1417552,test
7159817,0,0.35544226,test
7112736,0,0.10686482,test
7105014,0,0.044867273,test
7192683,0,0.039043937,test
7151873,0,0.08632751,test
7169763,0,0.059778843,test
7181150,0,0.037315734,test
7098158,0,0.04106387,test
7162986,0,0.041450772,test
7191902,0,0.05786471,test
7134221,0,0.047132175,test
7166041,0,0.04439271,test
7159659,1,0.75480646,test
7171281,0,0.06602765,test
7170186,0,0.30338922,test
7138571,0,0.05739708,test
7184002,1,0.22669438,test
7137286,0,0.70874804,test
7167670,0,0.5715911,test
7176355,0,0.04537154,test
7140979,0,0.18512742,test
7104716,0,0.33138767,test
7146839,0,0.34577724,test
7137741,0,0.1956258,test
7115856,0,0.056841835,test
7193187,0,0.09101391,test
7177054,0,0.36416698,test
7186407,0,0.32066217,test
7193319,0,0.4179501,test
7134910,0,0.19101848,test
7181787,0,0.083585374,test
7134142,0,0.16326876,test
7098376,0,0.26394185,test
7148214,0,0.14656043,test
7132727,1,0.4233088,test
7151637,0,0.3614885,test
7130930,0,0.14986253,test
7180585,0,0.14222,test
7121370,0,0.1909289,test
7165444,1,0.8437897,test
7182347,0,0.19540204,test
7131335,0,0.2315838,test
7110929,0,0.16325979,test
7154867,0,0.19340786,test
7189436,0,0.48151475,test
7141909,0,0.05229784,test
7160271,0,0.08529449,test
7185372,0,0.14046825,test
7103170,1,0.8533273,test
7144569,0,0.037197985,test
7175229,0,0.17187189,test
7192883,0,0.15145347,test
7141694,0,0.04791484,test
7143886,0,0.28016728,test
7153167,0,0.13563174,test
7146295,0,0.22207284,test
7164265,0,0.059541333,test
7176405,0,0.53820795,test
7167151,0,0.44205365,test
7191157,0,0.21104226,test
7120448,0,0.13107826,test
7176199,0,0.04898793,test
7142727,0,0.239206,test
7153599,0,0.19338334,test
7177786,0,0.27396464,test
7109138,0,0.47447813,test
7140523,0,0.11192671,test
