id,labels,probs,split
31389,0,0.54541695,train
47731,1,0.030830478,train
44451,0,0.021521,train
46078,0,0.019122316,train
31617,0,0.7536343,train
5645,0,0.054990806,train
8568,1,0.9742532,train
42709,1,0.046732932,train
7876,1,0.1216979,train
3598,0,0.021465031,train
24935,0,0.09535276,train
33853,1,0.9632449,train
21733,1,0.0238392,train
47362,0,0.884728,train
28829,1,0.94214505,train
25330,0,0.015964702,train
35631,0,0.052323338,train
22016,1,0.118037514,train
20926,0,0.023928635,train
10286,0,0.9192253,train
7751,0,0.048167422,train
15676,0,0.9193196,train
32407,1,0.073032156,train
20069,0,0.039827567,train
4229,0,0.31283495,train
26541,0,0.029872527,train
39997,0,0.079515435,train
43590,0,0.036443945,train
35925,0,0.036318135,train
6238,0,0.027817052,train
49681,1,0.97894365,train
13344,0,0.031657547,train
32530,0,0.028767135,train
43671,0,0.019947723,train
22579,0,0.16080688,train
5730,0,0.040792685,train
41869,0,0.04185743,train
23629,0,0.018702628,train
35575,0,0.95830595,train
2972,1,0.68647027,train
9995,0,0.016026951,train
17952,1,0.027331624,train
9033,0,0.09306586,train
4258,0,0.08030943,train
29002,1,0.99104065,train
7239,1,0.9829879,train
8796,0,0.011873193,train
42630,0,0.16120051,train
28480,1,0.96572256,train
48345,0,0.015207591,train
29258,1,0.84235436,train
17571,0,0.016397355,train
41573,1,0.24119629,train
31197,0,0.06890141,train
45232,0,0.05489804,train
16637,0,0.024791226,train
38057,0,0.05266862,train
19160,0,0.021186326,train
16844,1,0.98890775,train
17723,0,0.12173369,train
23152,1,0.95952994,train
10949,1,0.5543181,train
41584,0,0.058528565,train
10511,0,0.02270648,train
37578,1,0.08803786,train
39215,1,0.9775553,train
16562,0,0.024050256,train
27498,0,0.026342057,train
13180,0,0.10435677,train
37592,1,0.96583664,train
8831,0,0.029871047,train
5982,0,0.03558226,train
13929,1,0.050975915,train
2962,1,0.94508976,train
24984,0,0.917731,train
38970,0,0.05424892,train
9968,0,0.0182767,train
9611,0,0.03934954,train
7262,0,0.02928719,train
7525,0,0.029840076,train
45242,0,0.025401011,train
39933,0,0.0130018005,train
31076,0,0.052143224,train
7485,0,0.027989192,train
21191,1,0.957119,train
47876,0,0.025007581,train
21103,0,0.025608346,train
24260,1,0.97903436,train
18556,1,0.45805496,train
11369,0,0.049216278,train
33056,1,0.03224542,train
41861,0,0.06961245,train
15738,1,0.9621955,train
626,0,0.079846084,train
203,0,0.023573544,train
24834,0,0.07846541,train
48303,0,0.025051218,train
41197,0,0.022734972,train
41441,0,0.038017727,train
12323,1,0.027819479,train
7477,0,0.019256305,train
10765,0,0.007216785,train
332,0,0.042881053,train
30123,1,0.069826305,train
48580,0,0.04288583,train
36225,0,0.03102923,train
42778,0,0.041796237,train
49984,0,0.023705738,train
16111,0,0.016510623,train
12930,0,0.13750449,train
40126,0,0.8003511,train
21108,1,0.9593787,train
17873,0,0.07926496,train
2641,0,0.018170998,train
8972,0,0.13459422,train
49892,0,0.017738018,train
25459,1,0.036466997,train
2747,0,0.060104277,train
41198,0,0.028700218,train
36345,0,0.061258074,train
19852,0,0.050494082,train
45937,0,0.1057551,train
26808,0,0.015575464,train
44400,0,0.023039771,train
2209,0,0.03020173,train
44975,0,0.056056425,train
19642,0,0.019129239,train
34342,0,0.04933599,train
39014,0,0.027829591,train
11831,0,0.02088499,train
25401,1,0.43546158,train
7662,1,0.5691982,train
40668,1,0.7096111,train
47066,1,0.033038698,train
43349,1,0.52518153,train
48300,0,0.04507515,train
38577,1,0.0629494,train
33333,0,0.39055333,train
49504,0,0.09051664,train
6542,1,0.9796214,train
2909,0,0.020916577,train
33824,1,0.9831533,train
12220,0,0.03115276,train
44878,0,0.0664968,train
49728,0,0.050559323,train
21119,0,0.036915194,train
31607,0,0.010601393,train
29062,1,0.94767576,train
2470,0,0.847099,train
11567,0,0.052054547,train
48969,0,0.062226146,train
30218,1,0.051346306,train
10435,1,0.9765019,train
36783,0,0.07429885,train
12211,0,0.011653993,train
13103,0,0.35940504,train
44397,0,0.056243826,train
167,1,0.050142717,train
39753,0,0.07289495,train
43868,0,0.03232739,train
40277,0,0.025385175,train
610,0,0.034975477,train
46457,0,0.033826172,train
8067,0,0.0316151,train
31228,0,0.04682914,train
41622,1,0.13527517,train
4340,0,0.023047086,train
8804,0,0.040824175,train
40979,0,0.02430038,train
36204,0,0.16046187,train
2683,0,0.030391406,train
47400,0,0.07216421,train
6415,1,0.051934555,train
38820,0,0.9772495,train
43859,0,0.0430593,train
14795,0,0.0466301,train
16266,0,0.0142317545,train
35315,0,0.025353732,train
42844,0,0.010503394,train
40393,0,0.046294607,train
22796,0,0.012537196,train
27826,0,0.024118254,train
45585,0,0.18196344,train
29561,0,0.020920768,train
26657,0,0.88018256,train
12326,0,0.09075884,train
43982,0,0.028880687,train
