id,labels,probs,split
9931,1,0.964745,train
44759,0,0.011003775,train
1530,1,0.36741894,train
18158,0,0.052157175,train
39870,1,0.12257845,train
27547,0,0.059526637,train
48375,1,0.9725003,train
4172,1,0.12014309,train
29150,0,0.02144376,train
25422,1,0.89154303,train
31436,0,0.04478274,train
44602,0,0.525632,train
47278,0,0.14151548,train
25604,0,0.055368595,train
37978,0,0.13181333,train
350,0,0.03582288,train
36688,1,0.05585146,train
14800,1,0.14823112,train
32067,1,0.86579573,train
9797,0,0.040059615,train
630,1,0.29030338,train
38291,1,0.9953507,train
10295,0,0.751438,train
41569,0,0.049389705,train
12367,0,0.17637956,train
30605,0,0.071719825,train
2165,0,0.16103303,train
38107,0,0.9424515,train
29847,0,0.052653275,train
31451,1,0.09435081,train
35493,1,0.9831255,train
29302,0,0.08127302,train
31966,1,0.15045282,train
15216,0,0.03349931,train
24244,0,0.009990926,train
42025,0,0.1689015,train
17288,1,0.92504114,train
10475,1,0.9430705,train
23377,0,0.022639628,train
20090,1,0.07423863,train
24453,0,0.0674118,train
39641,0,0.08519999,train
39135,0,0.024537355,train
8312,0,0.016097186,train
34005,0,0.11186662,train
37520,1,0.98748976,train
8489,0,0.7852039,train
3504,0,0.0411394,train
49505,0,0.079565704,train
38762,1,0.9891907,train
27408,1,0.24990717,train
9769,0,0.016797472,train
16932,1,0.99653023,train
7262,0,0.031997934,train
37758,0,0.9011262,train
39787,1,0.5501941,train
46805,0,0.008058826,train
36597,1,0.95109886,train
29514,0,0.025032293,train
10019,0,0.012483191,train
16515,0,0.04461591,train
48248,0,0.04646271,train
33851,1,0.24631922,train
23254,0,0.008364665,train
49653,0,0.115995035,train
44850,1,0.048167117,train
429,0,0.06410537,train
25464,1,0.48639762,train
6601,1,0.10267624,train
8206,1,0.47327632,train
48089,1,0.98904127,train
20826,0,0.021883808,train
18087,0,0.61155105,train
38896,1,0.9886119,train
30787,0,0.082411416,train
41203,1,0.9409065,train
2088,0,0.22669296,train
26063,0,0.01662659,train
26973,0,0.09577369,train
12141,0,0.049059365,train
49380,0,0.011333656,train
661,0,0.021395974,train
32083,0,0.8331648,train
32673,0,0.3086665,train
4783,0,0.017068278,train
845,0,0.94089395,train
44098,0,0.09682789,train
43911,1,0.34346893,train
14947,1,0.9462972,train
48460,0,0.16793266,train
42739,1,0.99437994,train
14684,0,0.019344091,train
36364,1,0.13177277,train
26127,0,0.05728215,train
43129,1,0.98558074,train
44654,0,0.1050826,train
11389,0,0.011343828,train
47395,0,0.028838858,train
8323,1,0.98199767,train
15800,0,0.07211493,train
37952,0,0.07769773,train
32353,0,0.021787701,train
38287,1,0.6869928,train
41384,0,0.09065972,train
27567,1,0.036197282,train
48820,1,0.03260043,train
44660,0,0.023287559,train
32030,0,0.022733012,train
22792,0,0.011106505,train
37825,0,0.96576315,train
40192,0,0.010554293,train
13851,0,0.022142002,train
28806,0,0.41379228,train
27668,1,0.212586,train
6816,0,0.09098973,train
