id,labels,probs,split
9931,1,0.6186533,train
44759,0,0.3353957,train
1530,1,0.5543614,train
18158,0,0.21316706,train
39870,1,0.42353916,train
27547,0,0.09856599,train
48375,1,0.8148691,train
4172,1,0.5233034,train
29150,0,0.07717648,train
25422,1,0.46700212,train
31436,0,0.2587663,train
44602,0,0.6963649,train
47278,0,0.09927527,train
25604,0,0.23869295,train
37978,0,0.3388106,train
350,0,0.12557203,train
36688,1,0.55876195,train
14800,1,0.3270046,train
32067,1,0.54473037,train
9797,0,0.07686983,train
630,1,0.45185846,train
38291,1,0.69148004,train
10295,0,0.5026644,train
41569,0,0.38447973,train
12367,0,0.32341924,train
30605,0,0.3000999,train
2165,0,0.21040617,train
38107,0,0.5336539,train
29847,0,0.35724667,train
31451,1,0.49366695,train
35493,1,0.64927495,train
29302,0,0.22479065,train
31966,1,0.4857003,train
15216,0,0.116209865,train
24244,0,0.3010059,train
42025,0,0.2882076,train
17288,1,0.55905944,train
10475,1,0.5016808,train
23377,0,0.079941936,train
20090,1,0.28008524,train
24453,0,0.07349445,train
39641,0,0.33981225,train
39135,0,0.07709559,train
8312,0,0.07973288,train
34005,0,0.42682558,train
37520,1,0.60154915,train
8489,0,0.54835534,train
3504,0,0.25174212,train
49505,0,0.23609409,train
38762,1,0.50631297,train
27408,1,0.41189584,train
9769,0,0.07947874,train
16932,1,0.79139334,train
7262,0,0.27293792,train
37758,0,0.53151137,train
39787,1,0.49917772,train
46805,0,0.082933925,train
36597,1,0.55816823,train
29514,0,0.07263381,train
10019,0,0.2717504,train
16515,0,0.18346156,train
48248,0,0.26767573,train
33851,1,0.5082483,train
23254,0,0.24460171,train
49653,0,0.5475189,train
44850,1,0.14841968,train
429,0,0.27897257,train
25464,1,0.5261764,train
6601,1,0.32307953,train
8206,1,0.5305426,train
48089,1,0.5436423,train
20826,0,0.3355289,train
18087,0,0.329971,train
38896,1,0.672168,train
30787,0,0.25172234,train
41203,1,0.7269065,train
2088,0,0.42672223,train
26063,0,0.39443684,train
26973,0,0.22408216,train
12141,0,0.28568664,train
49380,0,0.08656591,train
661,0,0.077422544,train
32083,0,0.4456203,train
32673,0,0.23703887,train
4783,0,0.10765139,train
845,0,0.6316043,train
44098,0,0.18478383,train
43911,1,0.5831414,train
14947,1,0.5520295,train
48460,0,0.41760674,train
42739,1,0.81541455,train
14684,0,0.23050313,train
36364,1,0.4857353,train
26127,0,0.11021276,train
43129,1,0.65561557,train
44654,0,0.5229869,train
11389,0,0.19880806,train
47395,0,0.28201255,train
8323,1,0.82513446,train
15800,0,0.31106752,train
37952,0,0.24601622,train
32353,0,0.09841936,train
38287,1,0.53908676,train
41384,0,0.48430884,train
27567,1,0.15604235,train
48820,1,0.40590253,train
44660,0,0.09078023,train
32030,0,0.07613603,train
22792,0,0.22305433,train
37825,0,0.519556,train
40192,0,0.07893923,train
13851,0,0.098253876,train
28806,0,0.5302632,train
27668,1,0.37360778,train
6816,0,0.37733227,train
29230,1,0.68423736,train
2300,1,0.6927224,train
22689,1,0.52666837,train
44358,0,0.11963758,train
10769,1,0.44368306,train
289,0,0.072934054,train
13125,0,0.3886173,train
5736,1,0.5300557,train
11857,1,0.5813859,train
24574,0,0.395607,train
29712,0,0.15309413,train
12995,1,0.4697858,train
19595,0,0.07430848,train
15422,1,0.6603004,train
37817,1,0.647856,train
32396,0,0.27026623,train
39850,0,0.08145641,train
26951,0,0.3611839,train
5892,1,0.50630146,train
1656,1,0.6426988,train
44113,0,0.2477917,train
42942,0,0.21101668,train
24264,0,0.2724276,train
47087,1,0.45277995,train
767,0,0.19502199,train
44803,0,0.37328625,train
15215,1,0.813779,train
17851,1,0.251753,train
20047,1,0.3003776,train
31798,0,0.07293821,train
40200,1,0.36207986,train
17152,0,0.29768392,train
41138,1,0.5916719,train
38607,0,0.24326657,train
16278,1,0.25291142,train
33777,0,0.072281875,train
42144,1,0.32090554,train
3904,0,0.11551069,train
3385,1,0.8259797,train
42773,0,0.30643374,train
46433,0,0.07145937,train
3608,0,0.48483863,train
4476,0,0.25112873,train
44192,0,0.50839794,train
20781,0,0.22302912,train
24028,1,0.39727053,train
22019,0,0.2760868,train
29172,0,0.2976677,train
29540,1,0.43791735,train
16513,0,0.4015458,train
27028,1,0.6085875,train
25333,0,0.19544369,train
24705,0,0.22779854,train
17931,0,0.24382353,train
43654,1,0.34881827,train
46921,0,0.15075515,train
40504,0,0.41657895,train
37604,0,0.22703728,train
2805,1,0.5318349,train
21956,1,0.5794552,train
11120,0,0.3512586,train
25970,0,0.3437943,train
37045,0,0.25416312,train
44290,1,0.726719,train
10590,0,0.31425485,train
44203,1,0.32050824,train
25917,1,0.6063696,train
48703,1,0.5244226,train
42455,0,0.3820774,train
41932,0,0.083067015,train
16529,0,0.1539861,train
34522,0,0.19076268,train
3016,0,0.28477335,train
38065,1,0.66753924,train
31700,1,0.6072334,train
45397,0,0.09519846,train
45655,0,0.42858335,train
41013,0,0.11514104,train
14555,1,0.7437941,train
20073,0,0.26766983,train
20949,0,0.14608233,train
15306,0,0.08326782,train
33658,0,0.40061423,train
48948,0,0.2229551,train
40428,0,0.37416497,train
41382,0,0.30789596,train
37022,0,0.6982451,train
45258,0,0.5889792,train
19614,0,0.07499513,train
29753,1,0.56929564,train
15243,1,0.53593475,train
33493,0,0.34634888,train
39957,0,0.194739,train
9651,0,0.22487506,train
28941,1,0.66042715,train
33465,0,0.14162374,train
43514,0,0.16532502,train
40394,0,0.27891472,train
1305,0,0.34219122,train
47575,0,0.28339636,train
22641,0,0.27658945,train
47365,1,0.6783452,train
42682,1,0.37719172,train
13646,1,0.32297927,train
39861,0,0.2123175,train
12336,0,0.078723125,train
14170,1,0.6061374,train
2054,1,0.7333728,train
27042,0,0.07321819,train
24269,0,0.09860399,train
32567,0,0.26991406,train
7943,0,0.34797055,train
23963,0,0.16217864,train
7690,0,0.07942043,train
18376,0,0.21955828,train
27187,0,0.22672218,train
5139,0,0.08230223,train
3083,1,0.688514,train
10179,0,0.36339906,train
40095,1,0.5993009,train
13255,1,0.57548726,train
29496,0,0.31796032,train
20848,1,0.4698111,train
25204,0,0.10287453,train
29156,0,0.20913237,train
6521,1,0.24124284,train
37497,0,0.077522635,train
8147,1,0.28713402,train
43078,0,0.30052972,train
43697,0,0.3961914,train
2199,0,0.16482587,train
45477,0,0.08833517,train
9845,0,0.11330623,train
47552,0,0.12516572,train
41109,1,0.5265612,train
40401,0,0.08032519,train
37257,0,0.3590043,train
31936,0,0.105668396,train
47706,0,0.45394555,train
15770,0,0.17684543,train
42738,0,0.2095015,train
4013,0,0.0805366,train
16268,0,0.3006795,train
10581,0,0.33458132,train
5080,0,0.24724455,train
36245,0,0.54769,train
14003,0,0.257625,train
25186,0,0.20662077,train
31852,0,0.47932154,train
39834,0,0.36504236,train
41853,0,0.2781934,train
23049,0,0.12371057,train
20029,1,0.5389219,train
6793,0,0.12330354,train
1689,1,0.55446017,train
16018,0,0.35604247,train
40945,0,0.10286238,train
4440,1,0.49372262,train
26467,0,0.071924634,train
14707,0,0.2819167,train
21210,0,0.2694397,train
47779,0,0.16262771,train
14821,0,0.26627955,train
39092,1,0.6012806,train
43848,0,0.51189536,train
16035,1,0.7346503,train
32265,0,0.22467862,train
12083,0,0.30305544,train
3615,1,0.53879637,train
240,1,0.37861323,train
49265,0,0.30054936,train
26425,0,0.07825563,train
20695,0,0.08330827,train
26214,1,0.287335,train
43209,1,0.50188154,train
43925,0,0.30255458,train
32091,0,0.07684883,train
3223,0,0.073805094,train
37812,0,0.07410852,train
49745,0,0.51477087,train
11320,0,0.34426033,train
1378,1,0.60108906,train
48054,0,0.07881389,train
1787,1,0.6048651,train
20906,0,0.07616971,train
49052,0,0.21101616,train
3610,0,0.09006072,train
36641,1,0.37569946,train
564,0,0.35062924,train
27255,1,0.30721286,train
19456,0,0.07134031,train
10160,0,0.8094393,train
6701,0,0.08789501,train
42705,0,0.29396808,train
22132,1,0.2968579,train
26590,0,0.24830447,train
42331,0,0.23892993,train
5138,0,0.07261458,train
17191,0,0.5197946,train
37445,0,0.081567325,train
10504,1,0.47651726,train
16364,0,0.42847145,train
28697,0,0.40720347,train
17859,1,0.5361564,train
24567,0,0.07209217,train
12157,1,0.46495003,train
21374,0,0.072778575,train
17202,0,0.093336545,train
25252,0,0.07328973,train
17159,0,0.08202541,train
49921,0,0.40099213,train
42936,1,0.46218714,train
28720,1,0.5693579,train
35542,1,0.6862083,train
46007,0,0.097865045,train
41309,0,0.18729013,train
34527,1,0.8150986,train
26688,1,0.47961712,train
3176,0,0.29508093,train
5737,0,0.07206407,train
39350,0,0.07207632,train
33914,1,0.50310576,train
32365,0,0.21344171,train
14206,0,0.4132562,train
7948,0,0.22511022,train
38314,0,0.0949278,train
25784,0,0.4809075,train
23709,0,0.35602495,train
20234,0,0.54136217,train
24927,1,0.33153474,train
36322,1,0.81583005,train
24022,0,0.073809594,train
20790,0,0.40131447,train
31928,1,0.815201,train
41430,0,0.52267694,train
41352,0,0.4521814,train
7786,0,0.31228805,train
26710,0,0.46498194,train
4077,0,0.31731415,train
45328,1,0.6450406,train
20831,0,0.34393197,train
27751,0,0.40211272,train
32085,0,0.26803443,train
8009,0,0.27105534,train
22241,0,0.07965496,train
12216,1,0.34984276,train
30242,0,0.0800521,train
34880,0,0.39634395,train
43294,1,0.54029304,train
45248,0,0.27228266,train
5230,0,0.07218029,train
30666,1,0.3696153,train
7295,0,0.2901024,train
447,0,0.17385764,train
10011,0,0.36137772,train
44439,0,0.103214286,train
10127,0,0.07938056,train
33131,0,0.07714487,train
13042,0,0.18702713,train
20974,0,0.30045253,train
28722,0,0.3398752,train
4289,1,0.56341475,train
23169,0,0.33012944,train
27500,0,0.27178922,train
26397,1,0.4262027,train
4827,0,0.5640454,train
46341,0,0.12315365,train
28748,0,0.072632916,train
8761,0,0.39776987,train
35683,0,0.08048558,train
14540,0,0.47729784,train
7292,0,0.20983846,train
8233,1,0.55928695,train
29055,0,0.07153753,train
49328,0,0.32762447,train
14616,0,0.16597672,train
3712,0,0.107904546,train
21237,0,0.09043483,train
675,0,0.28029186,train
1377,0,0.07388027,train
21021,1,0.6110369,train
7324,0,0.071485475,train
20435,0,0.07289483,train
37152,0,0.29801154,train
8181,0,0.2653499,train
21693,0,0.2260938,train
39635,1,0.59351474,train
48967,0,0.43493775,train
8441,0,0.22623433,train
21999,1,0.6258576,train
49782,0,0.37557733,train
7635,0,0.42785215,train
7567,1,0.51914835,train
48826,1,0.6928032,train
33996,1,0.28298992,train
38944,0,0.0719083,train
18973,1,0.5383155,train
21480,0,0.32171002,train
21695,0,0.3945857,train
4046,0,0.333574,train
35688,0,0.313942,train
46988,0,0.087662786,train
32633,0,0.27004966,train
26487,1,0.26293433,train
18713,0,0.24048091,train
5065,1,0.5261295,train
6530,0,0.19974788,train
25761,0,0.07204488,train
18132,1,0.6216146,train
1773,1,0.47021884,train
20627,0,0.30798957,train
9412,0,0.41880494,train
25580,0,0.19698648,train
42998,0,0.2794908,train
27873,0,0.5401904,train
6281,1,0.48197484,train
47761,1,0.36552402,train
33762,0,0.20531425,train
9523,1,0.5790134,train
9576,0,0.8182548,train
10801,1,0.8154353,train
45189,0,0.4743263,train
5147,1,0.8248155,train
23875,0,0.4681451,train
44706,1,0.36278158,train
21744,1,0.6238283,train
8746,0,0.81471103,train
6298,0,0.37452018,train
1867,0,0.07634071,train
37920,1,0.6240872,train
20142,0,0.28897628,train
16605,0,0.48438928,train
30022,1,0.6911025,train
37194,1,0.5446655,train
47100,0,0.122150704,train
47870,0,0.41353565,train
18055,1,0.42069468,train
12851,0,0.28454426,train
35107,0,0.07837283,train
39062,1,0.56188154,train
16555,0,0.0774638,train
45000,0,0.33609495,train
18900,1,0.49942547,train
32478,0,0.40521672,train
26749,0,0.19398597,train
14119,0,0.3100615,train
38990,0,0.08637807,train
35024,0,0.30818573,train
20472,0,0.32215306,train
25633,1,0.8174438,train
21296,0,0.52390164,train
1697,0,0.08477739,train
31674,0,0.09816638,train
21128,0,0.12261394,train
2689,1,0.5325873,train
519,0,0.10028346,train
34765,0,0.27856103,train
44697,1,0.35165125,train
16139,0,0.5954869,train
20013,0,0.3984762,train
14412,0,0.44690758,train
20600,0,0.54833716,train
207,0,0.3352007,train
11711,0,0.38908735,train
42430,1,0.538304,train
43578,0,0.44745055,train
2596,1,0.2400904,train
33663,0,0.39747414,train
27680,1,0.5494138,train
9026,1,0.6752663,train
19785,0,0.22231749,train
32397,1,0.5031439,train
20315,0,0.18978186,train
8115,0,0.4114903,train
27122,0,0.23897986,train
33940,0,0.41338006,train
25460,1,0.5250591,train
26893,0,0.43259218,train
30529,0,0.38095874,train
22334,0,0.12771653,train
11636,0,0.08507952,train
11635,1,0.5089147,train
31961,0,0.36809608,train
30985,0,0.30328706,train
2046,0,0.30507126,train
29500,1,0.8169619,train
29573,0,0.47219807,train
31919,0,0.4168827,train
16054,1,0.41957575,train
47572,0,0.23091139,train
43529,0,0.56284595,train
46955,0,0.57973844,train
848,0,0.13408008,train
6510,0,0.24511102,train
34735,0,0.107996605,train
46277,0,0.45191628,train
20305,0,0.072536424,train
47667,1,0.54222906,train
20655,0,0.4866595,train
959,1,0.36828884,train
28600,0,0.41801083,train
39399,0,0.35870484,train
23155,1,0.81545264,train
42895,0,0.3080765,train
19855,0,0.29951867,train
11207,1,0.7743924,train
12218,0,0.07302512,train
3775,0,0.29649162,train
21346,0,0.56014216,train
44374,0,0.31463885,train
39071,1,0.554593,train
24426,0,0.27568775,train
17528,0,0.46803552,train
5236,0,0.48249114,train
9083,0,0.5766832,train
21624,0,0.56619,train
34722,0,0.55779684,train
7413,0,0.3088924,train
1730,0,0.07670531,train
27143,0,0.07364287,train
44583,1,0.74446917,train
9970,0,0.09444532,train
8131,1,0.5468656,train
5860,0,0.27085376,train
36431,1,0.6841444,train
24526,0,0.11975109,train
41158,0,0.37238386,train
47619,0,0.22457935,train
23613,0,0.2152273,train
15310,0,0.41628426,train
10793,0,0.071496524,train
44873,0,0.07168942,train
28641,1,0.11741421,train
31027,0,0.39054987,train
31612,0,0.2205517,train
33749,1,0.41018122,train
913,0,0.079249635,train
40715,1,0.46222535,train
35288,1,0.60890967,train
24009,0,0.07628126,train
8871,0,0.1525519,train
6887,0,0.073492914,train
12315,1,0.19129351,train
49740,0,0.27561778,train
10308,1,0.35913607,train
31823,0,0.2537401,train
45121,0,0.45614773,train
29364,1,0.552687,train
15101,1,0.5434697,train
47056,1,0.3585282,train
21052,0,0.074649535,train
40809,1,0.653821,train
3036,0,0.2563534,train
45699,1,0.6153103,train
41065,0,0.32113397,train
32357,0,0.2170841,train
3557,0,0.2633789,train
892,0,0.17889902,train
13807,0,0.52283436,train
47936,0,0.27525872,train
25140,0,0.41197735,train
41786,0,0.21114576,train
33755,0,0.21109708,train
42410,0,0.3320444,train
10260,1,0.8225367,train
25065,0,0.49444717,train
21753,0,0.10636219,train
33254,0,0.39141038,train
29582,0,0.11938994,train
1488,1,0.60215604,train
27377,1,0.5806829,train
23685,1,0.50606096,train
27917,0,0.24995741,train
5642,0,0.37819552,train
32763,0,0.23312654,train
26746,1,0.8196257,train
33396,0,0.088134386,train
38426,0,0.2650824,train
33585,0,0.3750985,train
2572,0,0.27007756,train
39536,1,0.6361122,train
39512,0,0.5361953,train
12544,0,0.23089032,train
818,0,0.5515505,train
34101,0,0.07701332,train
24512,1,0.5493316,train
49118,0,0.2629026,train
5448,0,0.18350947,train
38165,1,0.7177101,train
18499,1,0.5642451,train
23250,0,0.072824895,train
11764,0,0.5388522,train
35835,1,0.52610385,train
30905,1,0.6832096,train
9917,1,0.55369884,train
21180,0,0.16823849,train
37291,1,0.63828003,train
41770,0,0.38486046,train
22383,0,0.3195556,train
23502,0,0.54833263,train
30057,0,0.5587906,train
28073,0,0.25042495,train
49144,0,0.36374736,train
33724,0,0.18032503,train
21469,0,0.07591483,train
47838,1,0.33378774,train
20394,0,0.17910486,train
44733,0,0.41098008,train
6392,0,0.3245508,train
23873,0,0.39336693,train
16761,0,0.19846255,train
44489,0,0.07595046,train
31457,0,0.15976982,train
24092,0,0.13809319,train
40766,0,0.31220385,train
19107,0,0.18211572,train
19082,1,0.2992551,train
45681,1,0.55045456,train
1315,0,0.17070448,train
11797,0,0.44129643,train
25933,0,0.085007094,train
36786,0,0.52103585,train
10537,1,0.4953498,train
45441,1,0.74206084,train
22000,0,0.41096222,train
24771,0,0.4346312,train
41251,0,0.29661426,train
3177,0,0.26724815,train
23123,0,0.3457142,train
43732,0,0.2674949,train
20044,0,0.13982686,train
27243,0,0.29254654,train
32969,0,0.26423392,train
8567,0,0.13573153,train
28435,0,0.21691348,train
11175,1,0.47906575,train
3031,0,0.55974966,train
26792,0,0.07324738,train
31364,1,0.5215469,train
3823,1,0.4178434,train
42557,0,0.53780556,train
36595,0,0.3718481,train
4179,0,0.1830892,train
30852,0,0.54766387,train
36619,0,0.4431557,train
17109,0,0.08397618,train
50009,0,0.31051123,train
49467,0,0.48548287,train
30794,1,0.6764113,train
6195,0,0.44912368,train
41510,0,0.24558768,train
19775,0,0.36785963,train
38129,1,0.8130738,train
36192,0,0.23876317,train
30453,0,0.31171712,train
31248,0,0.22683187,train
34464,1,0.6698913,train
8106,0,0.11164279,train
2903,1,0.50663847,train
18314,0,0.09435453,train
36629,0,0.6118971,train
2223,1,0.47227952,train
9949,0,0.28951022,train
21323,0,0.22778054,train
28381,0,0.2860241,train
4117,1,0.4312706,train
20796,1,0.5402532,train
46500,0,0.10685636,train
19640,0,0.09129456,train
19754,0,0.19730613,train
36979,0,0.37571242,train
17712,0,0.16938172,train
8813,1,0.6437508,train
36057,1,0.538148,train
13016,0,0.42243093,train
13329,1,0.49226737,train
25652,0,0.22958224,train
33523,0,0.20318505,train
24241,1,0.42264852,train
16439,0,0.41375953,train
16599,1,0.6138198,train
17236,0,0.114771165,train
10984,1,0.5144402,train
45702,1,0.5323726,train
43774,0,0.404542,train
38555,1,0.5701176,train
28020,0,0.523581,train
22275,1,0.6956167,train
6707,0,0.4031245,train
13483,0,0.113736436,train
34746,1,0.14462705,train
47326,0,0.29041037,train
39136,0,0.31622759,train
40711,1,0.31949988,train
12470,0,0.24276051,train
8084,0,0.43591878,train
21556,0,0.51856905,train
40414,1,0.54835653,train
29856,0,0.4911891,train
18183,1,0.42020935,train
2231,0,0.2855328,train
44881,1,0.42345253,train
47113,0,0.20657709,train
34634,0,0.34146544,train
49042,1,0.22596852,train
36867,0,0.30929887,train
36120,0,0.34949452,train
1611,0,0.46679574,train
27597,0,0.5485214,train
13468,0,0.7368934,train
25116,0,0.07201944,train
35278,0,0.3099057,train
42766,0,0.31087834,train
14677,0,0.2950644,train
39244,1,0.8151315,train
2822,0,0.31429747,train
32201,1,0.5294989,train
14051,0,0.1023946,train
48504,0,0.24093902,train
32794,1,0.6708007,train
44243,0,0.27930793,train
38244,0,0.08543642,train
44450,0,0.0792441,train
20137,0,0.27318314,train
48532,1,0.5445146,train
1647,1,0.52954197,train
27612,0,0.41354883,train
23711,0,0.34628642,train
7537,1,0.6633934,train
21629,0,0.24113916,train
14756,0,0.073518515,train
46543,0,0.13739018,train
34840,0,0.5410719,train
21662,0,0.30764014,train
6815,1,0.57512784,train
21896,0,0.58797145,train
30088,1,0.51308817,train
43329,1,0.40832537,train
26099,1,0.47451162,train
31871,0,0.10472094,train
27146,0,0.2482025,train
8778,0,0.3375127,train
24738,0,0.074868806,train
16512,0,0.07923192,train
21780,1,0.30036205,train
9880,1,0.81002754,train
19316,1,0.52101654,train
16007,0,0.35330802,train
40735,0,0.35065627,train
27064,0,0.47650638,train
10001,0,0.5569039,train
39140,0,0.071688496,train
44009,0,0.23127207,train
18473,1,0.60992444,train
17425,0,0.11946363,train
12191,1,0.8158204,train
6645,0,0.7324286,train
40898,1,0.30990157,train
13113,0,0.07479944,train
11052,1,0.3260803,train
2209,0,0.101324886,train
37177,0,0.45698088,train
1364,0,0.08592011,train
35622,0,0.72795534,train
16936,0,0.59108394,train
29652,0,0.297703,train
44510,0,0.30671635,train
14059,0,0.31800205,train
4073,0,0.57482034,train
49903,1,0.81546307,train
36387,1,0.49370897,train
10096,0,0.2920703,train
43853,0,0.52696496,train
32069,1,0.6146271,train
20379,0,0.077158146,train
2314,0,0.36831117,train
35991,0,0.08550865,train
17361,0,0.22923304,train
7360,1,0.5506868,train
45251,0,0.36431077,train
23945,0,0.081396095,train
5081,1,0.5883822,train
44414,1,0.27685598,train
10860,0,0.11315929,train
40779,0,0.30436724,train
46627,0,0.47473013,train
48842,0,0.074395746,train
27092,1,0.69362825,train
5868,0,0.22864524,train
43713,1,0.28028783,train
46125,0,0.08027477,train
44327,0,0.07820598,train
3496,0,0.3804499,train
36166,1,0.6757685,train
29467,0,0.31047025,train
28565,1,0.7458894,train
40976,0,0.10055458,train
9699,0,0.07388891,train
3061,0,0.1884789,train
35220,1,0.3560659,train
17296,0,0.37150532,train
42788,0,0.384179,train
32450,1,0.62785804,train
41698,0,0.2722943,train
45672,0,0.5219704,train
10883,1,0.33835843,train
16176,1,0.29721147,train
4496,1,0.37857518,train
34678,0,0.44146794,train
19026,0,0.2824678,train
33132,0,0.3191386,train
23795,0,0.14185785,train
47135,0,0.28102756,train
2685,1,0.6200792,train
29170,1,0.63632655,train
14653,1,0.44639546,train
37275,1,0.54245305,train
8204,0,0.501114,train
7396,0,0.39761704,train
37990,1,0.44405258,train
15768,0,0.3921581,train
25731,0,0.084333956,train
26747,0,0.2889743,train
47725,0,0.4981829,train
6673,0,0.2207232,train
28028,0,0.33077845,train
13866,0,0.071315765,train
18131,0,0.25810373,train
37113,1,0.29818523,train
5260,0,0.079542816,train
16076,0,0.07515303,train
44511,0,0.2977885,train
36301,0,0.34389153,train
34065,1,0.7417076,train
13626,1,0.8190362,train
29777,0,0.1617157,train
43015,0,0.099696435,train
2709,1,0.37981853,train
16998,0,0.5556192,train
40804,0,0.5942672,train
21995,1,0.67910665,train
17659,0,0.38005617,train
29939,0,0.37049636,train
4148,0,0.36157903,train
37660,0,0.26390976,train
48203,0,0.3961662,train
16450,0,0.3534344,train
36845,0,0.071631774,train
45940,1,0.6760409,train
41548,0,0.11170784,train
11903,0,0.08484483,train
21220,0,0.40459678,train
19261,0,0.8121102,train
46678,0,0.5724124,train
33030,0,0.52717125,train
20064,0,0.09583645,train
29974,1,0.36994636,train
29580,0,0.35565475,train
378,1,0.7792103,train
32577,0,0.07390069,train
24626,0,0.08629437,train
25684,0,0.39824414,train
3985,0,0.082242064,train
44667,0,0.38473853,train
18503,1,0.58147514,train
5733,0,0.17355077,train
38230,0,0.07812853,train
2409,0,0.11364524,train
19151,0,0.39467296,train
44923,0,0.13466199,train
41881,0,0.108709246,train
7648,0,0.20487508,train
659,1,0.7041125,train
9626,1,0.3730597,train
13710,1,0.3617641,train
37844,0,0.28487736,train
33382,0,0.56463665,train
8744,0,0.24512011,train
33607,0,0.10770119,train
25416,0,0.072299175,train
8346,1,0.46244103,train
16912,1,0.3283235,train
20493,1,0.52868223,train
19239,0,0.43312687,train
20845,0,0.09403731,train
7163,0,0.29154918,train
43743,0,0.4228657,train
14585,0,0.27885184,train
44765,0,0.5184973,train
18536,0,0.57330453,train
12790,0,0.071439534,train
658,0,0.36930183,train
3684,1,0.65661067,train
44933,0,0.14441097,train
46106,1,0.33116227,train
3713,0,0.2827631,train
6022,0,0.1604641,train
3645,0,0.39308497,train
29105,1,0.6902117,train
41121,0,0.41571826,train
7352,0,0.34795588,train
29129,0,0.2598875,train
23672,0,0.32880366,train
23501,1,0.49567598,train
23947,0,0.3589216,train
4064,1,0.53438956,train
6028,1,0.30255505,train
40384,0,0.07163828,train
14283,0,0.18176167,train
19025,1,0.8164055,train
12926,1,0.5357271,train
41355,0,0.10335485,train
20309,0,0.41072467,train
27102,1,0.56679654,train
42504,0,0.19202486,train
25495,1,0.39527503,train
42935,0,0.12072994,train
30082,0,0.24813744,train
