id,labels,probs,split
31389,0,0.49532348,train
47731,1,0.38399363,train
44451,0,0.13007772,train
46078,0,0.095219344,train
31617,0,0.284088,train
5645,0,0.37389034,train
8568,1,0.6658779,train
42709,1,0.3038757,train
7876,1,0.57833415,train
3598,0,0.21665815,train
24935,0,0.31502357,train
33853,1,0.6021745,train
21733,1,0.42838505,train
47362,0,0.57150733,train
28829,1,0.61900395,train
25330,0,0.103367865,train
35631,0,0.37836388,train
22016,1,0.4272323,train
20926,0,0.11938795,train
10286,0,0.52912796,train
7751,0,0.42729318,train
15676,0,0.61381614,train
32407,1,0.24517816,train
20069,0,0.24260591,train
4229,0,0.45197406,train
26541,0,0.10932019,train
39997,0,0.46162078,train
43590,0,0.11541611,train
35925,0,0.28442505,train
6238,0,0.17280664,train
49681,1,0.6619221,train
13344,0,0.34391487,train
32530,0,0.09404235,train
43671,0,0.21741046,train
22579,0,0.42574033,train
5730,0,0.25052842,train
41869,0,0.2659737,train
23629,0,0.17974444,train
35575,0,0.5952197,train
2972,1,0.6612668,train
9995,0,0.07410161,train
17952,1,0.33934557,train
9033,0,0.34131697,train
4258,0,0.16854973,train
29002,1,0.81353086,train
7239,1,0.6447153,train
8796,0,0.14436616,train
42630,0,0.5078222,train
28480,1,0.75373584,train
48345,0,0.28854474,train
29258,1,0.6109633,train
17571,0,0.21057832,train
41573,1,0.3847091,train
31197,0,0.413186,train
45232,0,0.13086295,train
16637,0,0.18560134,train
38057,0,0.3572344,train
19160,0,0.07846191,train
16844,1,0.89455,train
17723,0,0.34510425,train
23152,1,0.5783735,train
10949,1,0.67131925,train
41584,0,0.450486,train
10511,0,0.20138143,train
37578,1,0.44118088,train
39215,1,0.7176489,train
16562,0,0.27886924,train
27498,0,0.07394807,train
13180,0,0.43034825,train
37592,1,0.71307504,train
8831,0,0.26935166,train
5982,0,0.22966784,train
13929,1,0.5522918,train
2962,1,0.7880958,train
24984,0,0.7118722,train
38970,0,0.40124717,train
9968,0,0.19000648,train
9611,0,0.07899199,train
7262,0,0.21292318,train
7525,0,0.2965042,train
45242,0,0.1666877,train
39933,0,0.08090143,train
31076,0,0.34234166,train
7485,0,0.19279738,train
21191,1,0.8122114,train
47876,0,0.32278195,train
21103,0,0.280256,train
24260,1,0.70614696,train
18556,1,0.4765773,train
11369,0,0.16159917,train
33056,1,0.43983838,train
41861,0,0.17507252,train
15738,1,0.7704812,train
626,0,0.2853768,train
203,0,0.2088124,train
24834,0,0.45187157,train
48303,0,0.086348906,train
41197,0,0.08580928,train
41441,0,0.34314024,train
12323,1,0.39401582,train
7477,0,0.087129794,train
10765,0,0.07636193,train
332,0,0.27184638,train
30123,1,0.41929588,train
48580,0,0.22752336,train
36225,0,0.21192978,train
42778,0,0.22378895,train
49984,0,0.30673078,train
16111,0,0.087207146,train
12930,0,0.42294472,train
40126,0,0.570146,train
21108,1,0.6312493,train
17873,0,0.6397549,train
2641,0,0.08905359,train
8972,0,0.24968351,train
49892,0,0.0735957,train
25459,1,0.4159108,train
2747,0,0.13580908,train
41198,0,0.257658,train
36345,0,0.3000864,train
19852,0,0.34924757,train
45937,0,0.45417336,train
26808,0,0.074035585,train
44400,0,0.09016665,train
2209,0,0.07378152,train
44975,0,0.34288827,train
19642,0,0.07735179,train
34342,0,0.23190896,train
39014,0,0.080781564,train
11831,0,0.08486878,train
25401,1,0.5074599,train
7662,1,0.49921137,train
40668,1,0.50686026,train
47066,1,0.5322901,train
43349,1,0.6150502,train
48300,0,0.33000824,train
38577,1,0.39972,train
33333,0,0.5353517,train
49504,0,0.296222,train
6542,1,0.8199086,train
2909,0,0.0746522,train
33824,1,0.864673,train
12220,0,0.1733053,train
44878,0,0.24124439,train
49728,0,0.08998317,train
21119,0,0.25812474,train
31607,0,0.33841866,train
29062,1,0.65737355,train
2470,0,0.4841516,train
11567,0,0.45465413,train
48969,0,0.21534275,train
30218,1,0.36415005,train
10435,1,0.8624491,train
36783,0,0.37423107,train
12211,0,0.078635685,train
13103,0,0.36553693,train
44397,0,0.4747373,train
167,1,0.42137542,train
39753,0,0.4330552,train
43868,0,0.07630111,train
40277,0,0.15422101,train
610,0,0.36020443,train
46457,0,0.20139362,train
8067,0,0.30187255,train
31228,0,0.4315147,train
41622,1,0.5841141,train
4340,0,0.18822858,train
8804,0,0.2430367,train
40979,0,0.25666425,train
36204,0,0.31021145,train
2683,0,0.48272496,train
47400,0,0.37749034,train
6415,1,0.51782715,train
38820,0,0.5924491,train
43859,0,0.33445224,train
14795,0,0.24535654,train
16266,0,0.08387401,train
35315,0,0.22567804,train
42844,0,0.08007561,train
40393,0,0.43592262,train
22796,0,0.07352971,train
27826,0,0.33927977,train
45585,0,0.4008898,train
29561,0,0.2603344,train
26657,0,0.5801751,train
12326,0,0.47173378,train
43982,0,0.24057406,train
48178,0,0.3688563,train
12691,0,0.30627453,train
43712,1,0.6265851,train
16561,0,0.4378016,train
31178,0,0.080261335,train
5101,0,0.2932164,train
29799,0,0.49626034,train
45869,0,0.42434645,train
44410,1,0.842079,train
21796,0,0.60970086,train
1594,0,0.16055246,train
44197,0,0.087516874,train
2390,0,0.39347827,train
41535,1,0.25688925,train
10523,0,0.0732681,train
20321,1,0.71079487,train
33252,0,0.09595709,train
6905,0,0.0867377,train
48576,0,0.3387137,train
11100,0,0.15470351,train
47209,0,0.24903034,train
62,0,0.32742718,train
32144,0,0.14544222,train
13293,0,0.0841487,train
19235,0,0.28501958,train
3250,1,0.87231094,train
2277,0,0.5916345,train
33280,1,0.5846178,train
21556,0,0.45188385,train
966,0,0.09691464,train
34710,0,0.37248623,train
8539,1,0.5160172,train
3180,0,0.26161218,train
36122,0,0.07430441,train
35935,0,0.61591595,train
26011,0,0.41342044,train
4782,1,0.6050292,train
21089,0,0.2760001,train
31204,0,0.13851692,train
3385,1,0.87731206,train
35393,0,0.29742596,train
34863,0,0.08554124,train
45733,1,0.24368994,train
32253,1,0.48704675,train
16476,1,0.37193158,train
14349,1,0.5982643,train
23114,0,0.095872104,train
20702,1,0.30058104,train
47764,0,0.079592966,train
13266,0,0.07393032,train
43596,0,0.08214915,train
38474,0,0.24996373,train
27962,0,0.31504214,train
4489,1,0.602612,train
11972,1,0.48923767,train
19730,0,0.07833353,train
18044,0,0.49252507,train
44340,0,0.24719524,train
21982,0,0.3826813,train
32736,0,0.12733233,train
32729,0,0.09119054,train
25028,0,0.5896519,train
10149,0,0.21756388,train
13412,1,0.8766074,train
44995,0,0.25312153,train
32724,0,0.512003,train
2718,0,0.40776655,train
21418,0,0.090202466,train
21301,0,0.21326655,train
15345,0,0.39166126,train
38852,1,0.37136042,train
598,0,0.19508205,train
46775,1,0.43188995,train
36103,0,0.074277066,train
3171,0,0.45975593,train
41428,1,0.8973825,train
19279,0,0.39234954,train
29129,0,0.30678925,train
26427,0,0.07631567,train
47412,1,0.6834942,train
29088,0,0.077897124,train
20872,0,0.08234625,train
1736,0,0.5722742,train
46013,1,0.2635357,train
38671,1,0.515357,train
36816,0,0.2833426,train
10195,0,0.3237576,train
36906,0,0.42660373,train
33296,0,0.08149086,train
39657,1,0.7508182,train
43221,0,0.17684706,train
17064,0,0.07846346,train
16715,0,0.3430087,train
44489,0,0.07337576,train
9108,1,0.87645924,train
42459,0,0.120247446,train
40203,0,0.074022815,train
8845,0,0.30280247,train
6898,0,0.25191802,train
20104,0,0.074432686,train
44885,0,0.34430146,train
45138,0,0.087720096,train
25680,0,0.24021327,train
46452,0,0.3027668,train
979,0,0.07446634,train
9161,1,0.5790384,train
39511,1,0.6732006,train
29718,0,0.07536444,train
27572,1,0.57135415,train
13225,0,0.07315882,train
34841,1,0.624632,train
30579,0,0.21210887,train
14343,0,0.08909945,train
15800,0,0.37879467,train
38515,0,0.4581246,train
21872,1,0.65041584,train
37985,0,0.2595765,train
41603,0,0.28925368,train
26368,0,0.538545,train
32730,0,0.21839389,train
47559,0,0.07372202,train
37464,0,0.4228383,train
42984,1,0.31708533,train
9580,0,0.12640987,train
7133,0,0.07427987,train
50044,0,0.27987853,train
21804,1,0.58170193,train
40087,1,0.36125943,train
9984,0,0.35416663,train
5468,0,0.077411816,train
36211,0,0.4216625,train
23176,0,0.07453634,train
5216,0,0.54908603,train
10411,0,0.07560863,train
43290,1,0.88081145,train
23798,1,0.7348342,train
31441,0,0.23852919,train
7444,0,0.10136097,train
39462,0,0.100714095,train
30619,0,0.102076255,train
33052,0,0.18179063,train
13178,0,0.3632673,train
35864,0,0.07327354,train
22435,0,0.14627954,train
20711,0,0.56518036,train
49314,1,0.2538597,train
26022,0,0.09130619,train
40347,0,0.29598638,train
39810,0,0.0776351,train
15134,0,0.5263485,train
21718,1,0.2653331,train
3749,1,0.7001777,train
35777,1,0.6611175,train
1412,0,0.5427904,train
