fairness_metrics,target_gender_men,target_gender_women,target_gender_transgender,target_race_white,target_race_black,target_race_asian
parity,0.774,0.899,0.75,0.762,0.842,0.75
eqOpp1,0.939,0.976,0.868,0.915,0.785,0.837
eqOpp0,0.991,0.903,0.938,0.968,0.953,0.934
eqOdd,0.965,0.94,0.903,0.942,0.869,0.886
p-accuracy,0.807,0.757,0.856,0.825,0.823,0.853
auc,0.836,0.811,0.88,0.827,0.887,0.889
bnsp,0.862,0.866,0.803,0.821,0.917,0.805
bpsn,0.834,0.825,0.911,0.866,0.82,0.918
posAEG,0.03,-0.012,0.066,0.042,-0.108,0.082
negAEG,-0.004,-0.049,0.031,0.016,-0.023,0.033
