id,labels,probs,split
0,1,0.73113537,train
1,1,0.8159861,train
2,1,0.7553471,train
3,1,0.68674576,train
4,0,0.64267856,train
5,1,0.6033592,train
6,1,0.8559668,train
7,1,0.6256814,train
8,1,0.78631437,train
9,1,0.69157654,train
10,1,0.7528432,train
11,1,0.6873565,train
12,1,0.8028306,train
13,0,0.21878986,train
14,1,0.6248736,train
15,0,0.6446593,train
16,1,0.6872972,train
17,1,0.7373549,train
18,0,0.5099747,train
19,1,0.6997675,train
20,1,0.72700447,train
21,1,0.7353975,train
22,1,0.80259806,train
23,1,0.4098575,train
24,1,0.6621284,train
25,1,0.6376532,train
26,1,0.64912546,train
27,0,0.5783919,train
28,0,0.50174004,train
29,1,0.6619001,train
30,1,0.64439917,train
31,0,0.60929394,train
32,1,0.6016173,train
33,1,0.67217463,train
34,0,0.6977998,train
35,1,0.75418866,train
36,1,0.7451778,train
37,1,0.77234894,train
38,0,0.52814066,train
39,1,0.6952487,train
40,0,0.5841757,train
41,1,0.40864062,train
42,1,0.52280563,train
43,1,0.5742176,train
44,0,0.6564674,train
45,1,0.678168,train
46,1,0.6520188,train
47,0,0.6268076,train
48,1,0.79459554,train
49,1,0.7554821,train
50,1,0.67106426,train
51,1,0.70294946,train
52,1,0.7538715,train
53,1,0.6950895,train
54,1,0.6975144,train
55,1,0.78856266,train
56,1,0.7008527,train
57,1,0.57093,train
58,1,0.677172,train
59,1,0.66812444,train
60,1,0.6269207,train
61,1,0.71240866,train
62,1,0.6418122,train
63,1,0.8017826,train
64,0,0.6586746,train
65,0,0.53974885,train
66,0,0.65668017,train
67,1,0.75493014,train
68,1,0.81788975,train
69,0,0.56214535,train
70,0,0.7588498,train
71,1,0.640463,train
72,1,0.6300713,train
73,0,0.34053668,train
74,1,0.7359058,train
75,1,0.7923264,train
76,1,0.6587284,train
77,1,0.71951735,train
78,0,0.65259546,train
79,0,0.69573605,train
80,1,0.6338627,train
81,1,0.73917127,train
82,1,0.67469084,train
83,0,0.55863327,train
84,1,0.73731226,train
85,0,0.6098076,train
86,1,0.7468747,train
87,1,0.781554,train
88,0,0.7211771,train
89,0,0.40328547,train
90,1,0.69830465,train
91,1,0.73793155,train
92,1,0.7722555,train
93,0,0.77661884,train
94,0,0.73644245,train
95,1,0.6977598,train
96,1,0.6056189,train
97,1,0.76828194,train
98,1,0.75175464,train
99,1,0.77596235,train
100,1,0.8535659,train
101,1,0.54939586,train
102,1,0.6562663,train
103,1,0.76096004,train
104,0,0.7013693,train
105,1,0.65970623,train
106,1,0.65268445,train
107,1,0.75558084,train
108,0,0.6439766,train
109,0,0.7426605,train
110,1,0.68957174,train
111,1,0.7180818,train
112,0,0.57899666,train
113,1,0.76864904,train
114,0,0.56764805,train
115,1,0.7054515,train
116,0,0.7217077,train
117,0,0.5063996,train
118,1,0.6973399,train
119,1,0.8403193,train
120,0,0.6467589,train
121,1,0.7022361,train
122,0,0.69001716,train
123,1,0.7097889,train
124,0,0.5987488,train
125,0,0.57402694,train
126,1,0.73782873,train
127,1,0.77332085,train
128,1,0.7919703,train
129,1,0.7095176,train
130,0,0.6688368,train
131,1,0.6524457,train
132,1,0.7126611,train
133,0,0.64310825,train
134,1,0.6722709,train
135,1,0.6339322,train
136,1,0.6127089,train
137,1,0.6864371,train
138,1,0.74973994,train
139,0,0.13646945,train
140,1,0.67475146,train
141,1,0.7853458,train
142,1,0.7461396,train
143,0,0.59765184,train
144,1,0.7224309,train
145,0,0.5731389,train
146,1,0.6777916,train
147,1,0.75159425,train
148,1,0.6616133,train
149,0,0.75205964,train
150,1,0.7689923,train
151,0,0.5853681,train
152,0,0.74694115,train
153,1,0.6863081,train
154,1,0.6618859,train
155,1,0.7746213,train
156,0,0.57648593,train
157,1,0.72489035,train
158,1,0.70861846,train
159,0,0.6399306,train
160,1,0.5415619,train
161,1,0.7092141,train
162,0,0.66521746,train
163,1,0.723821,train
164,1,0.62816674,train
165,1,0.77121377,train
166,1,0.6771064,train
167,0,0.66381305,train
168,1,0.6883423,train
169,1,0.6428445,train
170,1,0.62813026,train
171,1,0.57325375,train
172,1,0.68381083,train
173,1,0.6112952,train
174,1,0.75430596,train
175,0,0.34111488,train
176,1,0.65238094,train
177,1,0.7779121,train
178,1,0.6997216,train
179,1,0.75553894,train
180,1,0.7893577,train
181,0,0.63219804,train
182,1,0.63662475,train
183,1,0.66588813,train
184,0,0.39843473,train
185,1,0.79314077,train
186,0,0.6087049,train
187,0,0.55589443,train
188,0,0.6770219,train
189,1,0.7489571,train
190,0,0.54798913,train
191,1,0.64303416,train
192,1,0.53654957,train
193,1,0.6590129,train
194,1,0.6703503,train
195,1,0.7118159,train
196,1,0.68739605,train
197,1,0.7246022,train
198,0,0.276251,train
199,1,0.75739276,train
200,1,0.71981186,train
201,1,0.7462107,train
202,0,0.6469387,train
203,1,0.69465226,train
204,0,0.5461537,train
205,1,0.71968806,train
206,1,0.66336,train
207,1,0.7239329,train
208,1,0.7779631,train
209,1,0.8264004,train
210,1,0.7048164,train
211,1,0.7312318,train
212,1,0.83985585,train
213,1,0.74246913,train
214,1,0.6660685,train
215,1,0.8007579,train
216,1,0.5975986,train
217,1,0.7574346,train
218,1,0.77593863,train
219,1,0.7501428,train
220,1,0.7673654,train
221,1,0.6839789,train
222,1,0.65693283,train
223,0,0.51086897,train
224,1,0.69367826,train
225,1,0.70588577,train
226,1,0.5776414,train
227,1,0.6436867,train
228,1,0.7634029,train
229,1,0.74105006,train
230,0,0.690347,train
231,1,0.674912,train
232,1,0.61962086,train
233,1,0.5829747,train
234,1,0.6237239,train
235,1,0.77971786,train
236,1,0.7773663,train
237,1,0.83989185,train
238,1,0.8294447,train
239,1,0.6405406,train
240,1,0.5994574,train
241,1,0.6951924,train
242,1,0.7122284,train
243,1,0.71549076,train
244,1,0.68009454,train
245,1,0.7147171,train
246,1,0.67714727,train
247,1,0.71278393,train
248,0,0.54328245,train
249,1,0.85053766,train
250,1,0.676475,train
251,1,0.74775374,train
252,0,0.64587075,train
253,1,0.6836297,train
254,1,0.7085188,train
255,1,0.43424317,train
256,1,0.6219781,train
257,0,0.67524254,train
258,1,0.5298743,train
259,1,0.7009253,train
260,1,0.67342234,train
261,1,0.7321363,train
262,1,0.6419423,train
263,1,0.7133591,train
264,1,0.7972856,train
265,1,0.8274266,train
266,1,0.71215105,train
267,1,0.80706215,train
268,1,0.71419346,train
269,1,0.67623854,train
270,1,0.65250397,train
271,1,0.66070116,train
272,1,0.81222373,train
273,1,0.65312123,train
274,0,0.66021466,train
275,1,0.61342466,train
276,1,0.77216375,train
277,1,0.6247066,train
278,1,0.66514605,train
279,1,0.6234417,train
280,1,0.744896,train
281,1,0.59867644,train
282,1,0.8070271,train
283,1,0.7385229,train
284,0,0.7530778,train
285,1,0.6919904,train
286,1,0.7224134,train
287,1,0.7587205,train
288,1,0.54450935,train
289,0,0.64080983,train
290,1,0.71644825,train
291,0,0.48645732,train
292,1,0.68876207,train
293,1,0.7895556,train
294,1,0.7257945,train
295,1,0.72743964,train
296,1,0.75249076,train
297,1,0.65967023,train
298,0,0.30637544,train
299,0,0.22964878,train
300,1,0.74793017,train
301,1,0.824485,train
302,1,0.70132095,train
303,0,0.7151114,train
304,1,0.76394314,train
305,1,0.7555933,train
306,1,0.46564353,train
307,1,0.58677375,train
308,1,0.68971133,train
309,1,0.7257639,train
310,1,0.7325206,train
311,1,0.5780793,train
312,1,0.72232145,train
313,0,0.6447547,train
314,0,0.77194667,train
315,0,0.72958016,train
316,1,0.57127196,train
317,1,0.7588913,train
318,1,0.7412199,train
319,1,0.6259011,train
320,1,0.7400439,train
321,0,0.65510076,train
322,1,0.67526436,train
323,1,0.75887245,train
324,0,0.67488873,train
325,1,0.6576989,train
326,1,0.6827632,train
327,1,0.7870657,train
328,1,0.6345613,train
329,0,0.7694625,train
330,0,0.3313715,train
331,1,0.5847178,train
332,1,0.5333452,train
333,1,0.6598084,train
334,1,0.7613257,train
335,1,0.68677515,train
336,1,0.6646667,train
337,1,0.64585286,train
338,1,0.5910451,train
339,1,0.7495559,train
340,1,0.8182562,train
341,1,0.602245,train
342,0,0.75463575,train
343,1,0.6497212,train
344,1,0.78140515,train
345,1,0.76149005,train
346,1,0.7148976,train
347,0,0.69424844,train
348,1,0.60429275,train
349,1,0.7803958,train
350,1,0.6959724,train
351,0,0.26949155,train
352,1,0.72193426,train
353,0,0.66953653,train
354,1,0.60759455,train
355,1,0.68338275,train
356,1,0.4439303,train
357,1,0.7388853,train
358,1,0.77190375,train
359,0,0.6248798,train
360,0,0.54812306,train
361,1,0.7445628,train
362,1,0.6825108,train
363,1,0.5235713,train
364,1,0.69971764,train
365,1,0.61867315,train
366,1,0.74981296,train
367,0,0.7568077,train
368,1,0.3132588,train
369,1,0.7662548,train
370,1,0.7754129,train
371,1,0.7373168,train
372,1,0.64712775,train
373,0,0.7999213,train
374,1,0.6790436,train
375,1,0.83132166,train
376,0,0.5023449,train
377,1,0.80024314,train
378,1,0.6543596,train
379,0,0.65945655,train
380,1,0.58880836,train
381,0,0.6283876,train
382,0,0.74833405,train
383,1,0.5629639,train
384,1,0.7046512,train
385,0,0.7569016,train
386,1,0.7047286,train
387,0,0.7127665,train
388,0,0.6137965,train
389,1,0.54061913,train
390,0,0.5887253,train
391,1,0.8110541,train
392,0,0.5253828,train
393,1,0.717335,train
394,0,0.58758813,train
395,1,0.69044757,train
396,1,0.7404701,train
397,1,0.6839723,train
398,1,0.77678204,train
399,0,0.61719006,train
400,1,0.8104841,train
401,1,0.7412762,train
402,1,0.7507606,train
403,1,0.66529644,train
404,1,0.7535502,train
405,1,0.5691703,train
406,1,0.70072323,train
407,1,0.503367,train
408,0,0.5651574,train
409,1,0.798194,train
410,1,0.6390403,train
411,0,0.5611152,train
412,0,0.55449307,train
413,1,0.7061815,train
414,1,0.65042996,train
415,1,0.7248446,train
416,1,0.77477413,train
417,1,0.7432646,train
418,0,0.8466435,train
419,1,0.59039915,train
420,1,0.73722017,train
421,1,0.75213325,train
422,0,0.35232353,train
423,1,0.732141,train
424,0,0.46438643,train
425,1,0.7623621,train
426,1,0.63390046,train
427,1,0.6402672,train
428,0,0.50080895,train
429,1,0.6497075,train
430,1,0.6564444,train
431,1,0.79171294,train
432,1,0.7500271,train
433,1,0.6904314,train
434,1,0.85831636,train
435,1,0.56693894,train
436,1,0.79180276,train
437,1,0.70424366,train
438,0,0.30610883,train
439,0,0.34217334,train
440,1,0.67955625,train
441,0,0.68335694,train
442,1,0.6761237,train
443,1,0.7532373,train
444,1,0.63439846,train
445,1,0.7596184,train
446,1,0.7036016,train
447,1,0.8636954,train
448,1,0.62891674,train
449,1,0.75416356,train
450,1,0.7706051,train
451,1,0.7697911,train
452,1,0.71748686,train
453,1,0.73682606,train
454,1,0.6386722,train
