metrics,male,female,transgender,white,black,asian,Total
auc,0.898,0.9,0.789,0.798,0.816,0.897,0.947
accuracy,0.798,0.818,0.628,0.602,0.624,0.857,0.909
f1_score,0.558,0.535,0.467,0.564,0.603,0.475,0.591
precision,0.417,0.407,0.328,0.42,0.458,0.368,0.462
recall,0.841,0.78,0.808,0.858,0.882,0.667,0.819
false positive rate,0.21,0.176,0.417,0.508,0.499,0.122,0.083
bnsp_auc,0.958,0.95,0.942,0.962,0.96,0.925,
bpsn_auc,0.887,0.902,0.829,0.786,0.797,0.931,
posAEG,-0.011,0.02,0.006,-0.021,-0.033,0.076,
negAEG,-0.065,-0.048,-0.168,-0.214,-0.209,-0.02,
