Identity,0 (train),1 (train),0 (test),1 (test)
target_gender_women,4847,2304,1038,505
target_gender_men,2359,811,502,177
target_gender_transgender,900,254,187,51
target_gender_men,2359,811,502,177
target_race_black,2136,1557,471,350
target_race_white,1689,634,390,136
target_race_asian,829,199,191,61
target_race_white,1689,634,390,136
target_race_latinx,1054,308,204,79
target_race_white,1689,634,390,136
target_religion_jewish,699,288,156,69
target_religion_christian,1366,207,306,52
target_religion_muslim,1492,406,290,92
target_religion_christian,1366,207,306,52
