metrics,male,female,transgender,white,black,asian,Total
accuracy,0.751,0.785,0.685,0.59,0.636,0.814,0.887
auc,0.855,0.854,0.834,0.767,0.776,0.884,0.92
bnsp_auc,0.94,0.927,0.939,0.952,0.937,0.93,
bpsn_auc,0.828,0.851,0.792,0.709,0.754,0.876,
f1_score,0.498,0.486,0.528,0.559,0.591,0.44,0.522
false positive rate,0.261,0.211,0.362,0.528,0.447,0.179,0.102
negAEG,-0.081,-0.056,-0.13,-0.215,-0.173,-0.038,
posAEG,-0.024,0.006,-0.053,-0.052,-0.023,0.011,
precision,0.359,0.358,0.38,0.414,0.467,0.313,0.395
recall,0.815,0.756,0.872,0.866,0.812,0.746,0.768
